ObsID,variable,absolute_error
sch01_tch01_03_19_18_period03,IsQuestion,0.1795151526875069
sch01_tch01_03_19_18_period05,IsQuestion,0.05892686020755286
sch01_tch01_04_05_18_period02,IsQuestion,0.14534071259184728
sch01_tch01_04_05_18_period03,IsQuestion,0.004946445057926407
sch01_tch01_04_05_18_period05,IsQuestion,0.07384374646287667
sch01_tch01_04_16_18_period02,IsQuestion,0.20353908075427252
sch01_tch01_04_23_18_period05,IsQuestion,0.08880718261494525
sch01_tch01_04_24_18_period03,IsQuestion,0.060485166969473786
sch01_tch01_04_24_18_period05,IsQuestion,0.16610778177388397
sch01_tch02_04_26_18_period05,IsQuestion,0.10246967401235577
sch01_tch02_04_26_18_period06,IsQuestion,0.014978032185952228
sch01_tch02_04_27_18_period05,IsQuestion,0.2127274618998712
sch01_tch02_04_27_18_period06,IsQuestion,0.1395102516562878
sch01_tch02_04_30_18_period06,IsQuestion,0.015959252294230564
sch01_tch02_05_02_18_period05,IsQuestion,0.13738634901710323
sch01_tch02_05_02_18_period06,IsQuestion,0.05310744939731926
sch01_tch02_05_03_18_period05,IsQuestion,0.09436266737168639
sch01_tch02_05_03_18_period06,IsQuestion,0.10948042028454497
sch01_tch03_02_28_18_period04,IsQuestion,0.024897965645125864
sch01_tch03_03_01_18_period03,IsQuestion,0.03096342049036016
sch01_tch03_03_12_18_period03,IsQuestion,0.15933862542348193
sch01_tch03_03_12_18_period04,IsQuestion,0.08455192575785409
sch01_tch03_03_15_18_period04,IsQuestion,0.03970291454311298
sch01_tch04_03_07_18_period05,IsQuestion,0.056575102279368766
sch01_tch04_03_08_18_period05,IsQuestion,0.02840388934164617
sch01_tch04_04_27_18_period05,IsQuestion,0.08633119661837031
sch01_tch04_04_30_18_period04,IsQuestion,0.1796943172800728
sch01_tch04_04_30_18_period05,IsQuestion,0.029983610197092864
sch01_tch04_05_01_18_period04,IsQuestion,0.18815771234542375
sch01_tch04_05_02_18_period04,IsQuestion,0.09904914487829894
sch01_tch05_04_10_18_period02,IsQuestion,0.17696351460803206
sch01_tch05_04_10_18_period04,IsQuestion,0.06603757303005608
sch01_tch05_04_11_18_period01,IsQuestion,0.01924492901793029
sch01_tch05_04_11_18_period04,IsQuestion,0.014640634629486449
sch01_tch05_04_12_18_period02,IsQuestion,0.0564635760322581
sch01_tch05_04_12_18_period04,IsQuestion,0.08848718797758648
sch01_tch05_04_17_18_period02,IsQuestion,0.003548266383637755
sch01_tch05_04_17_18_period04,IsQuestion,0.050476313147257756
sch02_tch01_03_07_18_period1516,IsQuestion,0.031766727475268985
sch02_tch01_03_08_18_period1314,IsQuestion,0.12608640396612003
sch02_tch01_03_08_18_period1516,IsQuestion,0.0140952692030544
sch02_tch01_03_09_18_period1314,IsQuestion,0.02386010902044028
sch02_tch01_03_09_18_period1516,IsQuestion,0.1089985855774444
sch02_tch01_03_12_18_period1516,IsQuestion,0.07655535776827388
sch02_tch01_03_14_18_period1314,IsQuestion,0.13507123560373427
sch02_tch01_03_14_18_period1516,IsQuestion,0.028267159830882682
sch02_tch01_03_16_18_period1314,IsQuestion,0.07642111026201431
sch02_tch02_02_28_18_period05-06,IsQuestion,0.13347289314819294
sch02_tch02_02_28_18_period13-14,IsQuestion,0.1412009679379963
sch02_tch02_03_01_18_period05-06,IsQuestion,0.20003032435336118
sch02_tch02_03_01_18_period13-14,IsQuestion,0.23508655594115707
sch02_tch02_03_07_18_period05-06,IsQuestion,0.22992762271239553
sch02_tch02_04_23_18_period13-14,IsQuestion,0.061052423638323194
sch02_tch02_04_24_18_period5-6,IsQuestion,0.0346349192532841
sch02_tch02_04_24_18_period7-8,IsQuestion,0.08966814820324644
sch02_tch02_04_26_18_period13-14,IsQuestion,0.038437287572440915
sch02_tch03_04_10_18_period02,IsQuestion,0.09445292546128872
sch02_tch03_04_10_18_period03,IsQuestion,0.06017870152910626
sch02_tch03_04_11_18_period02,IsQuestion,0.16477409308377117
sch02_tch03_04_11_18_period03,IsQuestion,0.09515633299023096
sch02_tch03_04_12_18_period02,IsQuestion,0.13476061458734687
sch02_tch03_04_12_18_period03,IsQuestion,0.050498427532765955
sch02_tch03_04_18_18_period02,IsQuestion,0.16073775814305435
sch02_tch03_04_18_18_period03,IsQuestion,0.013860686104872788
sch02_tch04_04_09_18_period05,IsQuestion,0.10125354376227355
sch02_tch04_04_09_18_period15,IsQuestion,0.06761385956944363
sch02_tch04_04_11_18_period05,IsQuestion,0.1187761431969848
sch02_tch04_04_11_18_period15,IsQuestion,0.1280930380202136
sch02_tch04_04_16_18_period05,IsQuestion,0.14242684935708394
sch02_tch04_04_16_18_period15,IsQuestion,0.016979751861312897
sch02_tch04_04_19_18_period05,IsQuestion,0.06782889966673869
sch02_tch04_04_19_18_period15,IsQuestion,0.017730576847173107
sch02_tch05_04_26_18_period1,IsQuestion,0.00792340195080743
sch02_tch05_04_26_18_period3,IsQuestion,0.19320758740440724
sch02_tch05_04_27_18_period1,IsQuestion,0.0806876487902507
sch02_tch05_04_27_18_period3,IsQuestion,0.013556617045960964
sch02_tch05_04_30_18_period1,IsQuestion,0.16618013850191912
sch02_tch05_04_30_18_period3,IsQuestion,0.0566669137230188
sch02_tch05_05_01_18_period1,IsQuestion,0.12172973122293723
sch02_tch05_05_01_18_period3,IsQuestion,0.13970178503322514
sch02_tch06_05_03_18_period1-2,IsQuestion,0.14237143301147592
sch02_tch06_05_03_18_period3-4,IsQuestion,0.10265111617169265
sch02_tch06_05_04_18_period1-2,IsQuestion,0.05733420006453892
sch02_tch06_05_07_18_period3-4,IsQuestion,0.02381641811283705
sch02_tch06_05_10_18_period3-4,IsQuestion,0.04169394476377064
sch02_tch06_05_14_18_period3-4,IsQuestion,0.07441880915675814
sch02_tch06_05_16_18_period3-4,IsQuestion,0.16114324835029106
sch02_tch06_05_17_18_period3-4,IsQuestion,0.02829391060568648
sch02_tch07_05_04_18_period1-2,IsQuestion,0.039696813635340444
sch02_tch07_05_04_18_period3-4,IsQuestion,0.01537728576398878
sch02_tch07_05_10_18_period1-2,IsQuestion,0.1685130073255559
sch02_tch07_05_10_18_period3-4,IsQuestion,0.12779154200104997
sch02_tch07_05_11_18_period3-4,IsQuestion,0.08351803246671824
sch02_tch07_05_14_18_period1-2,IsQuestion,0.0571692950240775
sch02_tch07_05_14_18_period3-4,IsQuestion,0.10940763380381424
sch02_tch07_05_15_18_period1-2,IsQuestion,0.03135090159001132
sch03_tch01_05_24_18_period01,IsQuestion,0.01729434355880549
sch03_tch01_05_24_18_period02,IsQuestion,0.1059278350515464
sch03_tch01_05_25_18_period01,IsQuestion,0.06096171898061742
sch03_tch01_05_30_18_period02,IsQuestion,0.10751192401831772
sch03_tch01_05_30_18_period06,IsQuestion,0.044439725681232556
sch03_tch01_05_31_18_period04,IsQuestion,0.0033009299218330623
sch03_tch01_05_31_18_period06,IsQuestion,0.015186870215479487
sch03_tch01_06_01_18_period01,IsQuestion,0.007629619254670816
sch03_tch01_06_01_18_period02,IsQuestion,0.10663135971255483
sch03_tch02_05_29_18_period04,IsQuestion,0.07326102204498808
sch03_tch02_05_29_18_period06,IsQuestion,0.07513185650494489
sch03_tch02_05_30_18_period04,IsQuestion,0.0878801483132654
sch03_tch02_05_30_18_period06,IsQuestion,0.047335192913289637
sch03_tch02_05_31_18_period04,IsQuestion,0.035558790892523284
sch03_tch02_05_31_18_period06,IsQuestion,0.0236774219997557
sch03_tch02_06_07_18_period04,IsQuestion,0.04878967956697772
sch03_tch03_05_24_18_period03,IsQuestion,0.02675357371537035
sch03_tch03_05_24_18_period05,IsQuestion,0.11079951853583503
sch03_tch03_05_31_18_period03,IsQuestion,0.007963507054728869
sch03_tch03_05_31_18_period05,IsQuestion,0.11711269703922883
sch03_tch03_06_06_18_period03,IsQuestion,0.2501476065571985
sch03_tch03_06_06_18_period05,IsQuestion,0.1205087097641645
sch03_tch04_05_30_18_period03,IsQuestion,0.04307640969360366
sch03_tch04_05_31_18_period05,IsQuestion,0.09360112509741653
sch03_tch04_05_31_18_period06,IsQuestion,0.1629940607746384
sch03_tch04_06_04_18_period03,IsQuestion,0.037890451747576104
sch03_tch04_06_04_18_period06,IsQuestion,0.13865532816685272
sch03_tch04_06_05_18_period03,IsQuestion,0.14432833741429016
sch03_tch04_06_05_18_period06,IsQuestion,0.03367891907124848
sch03_tch04_06_06_18_period03,IsQuestion,0.22335412747654232
sch03_tch04_06_06_18_period06,IsQuestion,0.21835124187735075
sch01_tch01_03_19_18_period03,IsDisciplinaryTermsPresent,0.01997318727855009
sch01_tch01_03_19_18_period05,IsDisciplinaryTermsPresent,0.07654765610695244
sch01_tch01_04_05_18_period02,IsDisciplinaryTermsPresent,0.04144458516149436
sch01_tch01_04_05_18_period03,IsDisciplinaryTermsPresent,0.04695813397282646
sch01_tch01_04_05_18_period05,IsDisciplinaryTermsPresent,0.059651473032594465
sch01_tch01_04_16_18_period02,IsDisciplinaryTermsPresent,0.31049935515857885
sch01_tch01_04_23_18_period05,IsDisciplinaryTermsPresent,0.09088408772234702
sch01_tch01_04_24_18_period03,IsDisciplinaryTermsPresent,0.07659801686383398
sch01_tch01_04_24_18_period05,IsDisciplinaryTermsPresent,0.027416042614493666
sch01_tch02_04_26_18_period05,IsDisciplinaryTermsPresent,0.0914686121778628
sch01_tch02_04_26_18_period06,IsDisciplinaryTermsPresent,0.1287478676321724
sch01_tch02_04_27_18_period05,IsDisciplinaryTermsPresent,0.09799959129704797
sch01_tch02_04_27_18_period06,IsDisciplinaryTermsPresent,0.09217917157362336
sch01_tch02_04_30_18_period06,IsDisciplinaryTermsPresent,0.06477027181500637
sch01_tch02_05_02_18_period05,IsDisciplinaryTermsPresent,0.060475716365822815
sch01_tch02_05_02_18_period06,IsDisciplinaryTermsPresent,0.027296042807937154
sch01_tch02_05_03_18_period05,IsDisciplinaryTermsPresent,0.08467126503774089
sch01_tch02_05_03_18_period06,IsDisciplinaryTermsPresent,0.1290917555878177
sch01_tch03_02_28_18_period04,IsDisciplinaryTermsPresent,0.0960349271673892
sch01_tch03_03_01_18_period03,IsDisciplinaryTermsPresent,0.033095753657305965
sch01_tch03_03_12_18_period03,IsDisciplinaryTermsPresent,0.0646904835735891
sch01_tch03_03_12_18_period04,IsDisciplinaryTermsPresent,0.20858773800182503
sch01_tch03_03_15_18_period04,IsDisciplinaryTermsPresent,0.007097160187264473
sch01_tch04_03_07_18_period05,IsDisciplinaryTermsPresent,0.1867193775510666
sch01_tch04_03_08_18_period05,IsDisciplinaryTermsPresent,0.08990604928999635
sch01_tch04_04_27_18_period05,IsDisciplinaryTermsPresent,0.07640697791466446
sch01_tch04_04_30_18_period04,IsDisciplinaryTermsPresent,0.08504647298174753
sch01_tch04_04_30_18_period05,IsDisciplinaryTermsPresent,0.06386940059230758
sch01_tch04_05_01_18_period04,IsDisciplinaryTermsPresent,0.10974068715845292
sch01_tch04_05_02_18_period04,IsDisciplinaryTermsPresent,0.17224997808057912
sch01_tch05_04_10_18_period02,IsDisciplinaryTermsPresent,0.02171064488499721
sch01_tch05_04_10_18_period04,IsDisciplinaryTermsPresent,0.07503813934135528
